========================================================
Contrast_x,y,z=2  5  10
Get kvals from python.
524288  1.31072e+06  2.62144e+06  2.62144e+06  2.62144e+06  2621.44  26214.4  262144  262144  262144  2621.44  6553.6  13107.2  13107.2  262144  
  Use all 1.0.
Use the following reference parameters:
262144  262144  262144  262144  262144  
GPU solver with FCT preconditioner.
  itrIdx=43,	residual=2.530245e+07,	 rhs=6.710937e+10, relative=3.770330e-04.
  itrIdx=44,	residual=3.228360e+07,	 rhs=6.710937e+10, relative=4.810595e-04.
  itrIdx=45,	residual=4.632613e+07,	 rhs=6.710937e+10, relative=6.903080e-04.
  itrIdx=46,	residual=5.352898e+07,	 rhs=6.710937e+10, relative=7.976380e-04.
  itrIdx=47,	residual=5.850789e+07,	 rhs=6.710937e+10, relative=8.718290e-04.
  itrIdx=48,	residual=4.839014e+07,	 rhs=6.710937e+10, relative=7.210639e-04.
  itrIdx=49,	residual=3.575954e+07,	 rhs=6.710937e+10, relative=5.328546e-04.
  itrIdx=50,	residual=2.617107e+07,	 rhs=6.710937e+10, relative=3.899764e-04.
  itrIdx=51,	residual=2.705723e+07,	 rhs=6.710937e+10, relative=4.031812e-04.
  itrIdx=52,	residual=3.028116e+07,	 rhs=6.710937e+10, relative=4.512210e-04.
  itrIdx=53,	residual=2.803399e+07,	 rhs=6.710937e+10, relative=4.177359e-04.
  itrIdx=54,	residual=3.101554e+07,	 rhs=6.710937e+10, relative=4.621641e-04.
  itrIdx=55,	residual=2.651297e+07,	 rhs=6.710937e+10, relative=3.950711e-04.
  itrIdx=56,	residual=2.465887e+07,	 rhs=6.710937e+10, relative=3.674431e-04.
  itrIdx=57,	residual=2.716538e+07,	 rhs=6.710937e+10, relative=4.047927e-04.
  itrIdx=58,	residual=3.668556e+07,	 rhs=6.710937e+10, relative=5.466533e-04.
  itrIdx=59,	residual=3.660739e+07,	 rhs=6.710937e+10, relative=5.454886e-04.
  itrIdx=60,	residual=3.415638e+07,	 rhs=6.710937e+10, relative=5.089659e-04.
  itrIdx=61,	residual=2.720449e+07,	 rhs=6.710937e+10, relative=4.053754e-04.
  itrIdx=62,	residual=1.517612e+07,	 rhs=6.710937e+10, relative=2.261401e-04.
  itrIdx=63,	residual=1.059282e+07,	 rhs=6.710937e+10, relative=1.578441e-04.
  itrIdx=64,	residual=8.656604e+06,	 rhs=6.710937e+10, relative=1.289925e-04.
  itrIdx=65,	residual=9.783453e+06,	 rhs=6.710937e+10, relative=1.457837e-04.
  itrIdx=66,	residual=1.076566e+07,	 rhs=6.710937e+10, relative=1.604197e-04.
  itrIdx=67,	residual=1.468511e+07,	 rhs=6.710937e+10, relative=2.188236e-04.
  itrIdx=68,	residual=1.713761e+07,	 rhs=6.710937e+10, relative=2.553684e-04.
  itrIdx=69,	residual=1.583123e+07,	 rhs=6.710937e+10, relative=2.359020e-04.
  itrIdx=70,	residual=1.625798e+07,	 rhs=6.710937e+10, relative=2.422610e-04.
  itrIdx=71,	residual=1.967668e+07,	 rhs=6.710937e+10, relative=2.932031e-04.
  itrIdx=72,	residual=2.490767e+07,	 rhs=6.710937e+10, relative=3.711504e-04.
  itrIdx=73,	residual=2.585602e+07,	 rhs=6.710937e+10, relative=3.852818e-04.
  itrIdx=74,	residual=2.747502e+07,	 rhs=6.710937e+10, relative=4.094066e-04.
  itrIdx=75,	residual=1.921633e+07,	 rhs=6.710937e+10, relative=2.863436e-04.
  itrIdx=76,	residual=1.104435e+07,	 rhs=6.710937e+10, relative=1.645724e-04.
  itrIdx=77,	residual=7.324079e+06,	 rhs=6.710937e+10, relative=1.091365e-04.
  itrIdx=78,	residual=5.585577e+06,	 rhs=6.710937e+10, relative=8.323096e-05.
  itrIdx=79,	residual=4.254774e+06,	 rhs=6.710937e+10, relative=6.340059e-05.
  itrIdx=80,	residual=4.908850e+06,	 rhs=6.710937e+10, relative=7.314702e-05.
  itrIdx=81,	residual=5.824764e+06,	 rhs=6.710937e+10, relative=8.679509e-05.
  itrIdx=82,	residual=7.336712e+06,	 rhs=6.710937e+10, relative=1.093247e-04.
