========================================================
Contrast_x,y,z=4  25  100
Get kvals from python.
1.04858e+06  6.5536e+06  2.62144e+07  2.62144e+07  2.62144e+07  2621.44  26214.4  262144  262144  262144  2621.44  16384  65536  65536  262144  
Use the following reference parameters:
2621.44  16384  65536  65536  262144  
GPU solver with FCT preconditioner.
  itrIdx=84,	residual=1.802345e+06,	 rhs=6.710937e+10, relative=2.685683e-05.
  itrIdx=85,	residual=2.277744e+06,	 rhs=6.710937e+10, relative=3.394078e-05.
  itrIdx=86,	residual=2.005291e+06,	 rhs=6.710937e+10, relative=2.988094e-05.
  itrIdx=87,	residual=1.978509e+06,	 rhs=6.710937e+10, relative=2.948186e-05.
  itrIdx=88,	residual=1.398402e+06,	 rhs=6.710937e+10, relative=2.083765e-05.
  itrIdx=89,	residual=1.807404e+06,	 rhs=6.710937e+10, relative=2.693222e-05.
  itrIdx=90,	residual=2.527530e+06,	 rhs=6.710937e+10, relative=3.766285e-05.
  itrIdx=91,	residual=1.357748e+06,	 rhs=6.710937e+10, relative=2.023187e-05.
  itrIdx=92,	residual=1.798448e+06,	 rhs=6.710937e+10, relative=2.679876e-05.
  itrIdx=93,	residual=2.218773e+06,	 rhs=6.710937e+10, relative=3.306205e-05.
  itrIdx=94,	residual=1.461635e+06,	 rhs=6.710937e+10, relative=2.177990e-05.
  itrIdx=95,	residual=1.599547e+06,	 rhs=6.710937e+10, relative=2.383493e-05.
  itrIdx=96,	residual=1.790575e+06,	 rhs=6.710937e+10, relative=2.668145e-05.
  itrIdx=97,	residual=1.921312e+06,	 rhs=6.710937e+10, relative=2.862957e-05.
  itrIdx=98,	residual=1.526340e+06,	 rhs=6.710937e+10, relative=2.274407e-05.
  itrIdx=99,	residual=1.124937e+06,	 rhs=6.710937e+10, relative=1.676274e-05.
  itrIdx=100,	residual=1.701539e+06,	 rhs=6.710937e+10, relative=2.535472e-05.
  itrIdx=101,	residual=1.311849e+06,	 rhs=6.710937e+10, relative=1.954792e-05.
  itrIdx=102,	residual=9.037490e+05,	 rhs=6.710937e+10, relative=1.346681e-05.
  itrIdx=103,	residual=1.196290e+06,	 rhs=6.710937e+10, relative=1.782597e-05.
  itrIdx=104,	residual=1.124952e+06,	 rhs=6.710937e+10, relative=1.676296e-05.
  itrIdx=105,	residual=9.243890e+05,	 rhs=6.710937e+10, relative=1.377437e-05.
Reach rtol=1.000000e-05, the solver exits with residual=5.467044e+05 and iterations=106.
  homoCoeffZ=64.0369
========================================================
Contrast_x,y,z=16  625  10000
Get kvals from python.
4.1943e+06  1.6384e+08  2.62144e+09  2.62144e+09  2.62144e+09  2621.44  26214.4  262144  262144  262144  419.43  16384  262144  262144  262144  
Use the following reference parameters:
419.43  16384  262144  262144  262144  
