========================================================
Contrast_x,y,z=100  25  4
Get kvals from python.
2.62144e+07  6.5536e+06  1.04858e+06  1.04858e+06  1.04858e+06  2621.44  26214.4  262144  262144  262144  2621.44  655.36  104.858  104.858  262144  
Use the following reference parameters:
2621.44  655.36  104.858  104.858  262144  
GPU solver with FCT preconditioner.
  itrIdx=174,	residual=6.406395e+03,	 rhs=3.736463e+08, relative=1.714561e-05.
  itrIdx=175,	residual=5.937165e+03,	 rhs=3.736463e+08, relative=1.588980e-05.
  itrIdx=176,	residual=5.834846e+03,	 rhs=3.736463e+08, relative=1.561596e-05.
  itrIdx=177,	residual=5.689258e+03,	 rhs=3.736463e+08, relative=1.522632e-05.
  itrIdx=178,	residual=6.198799e+03,	 rhs=3.736463e+08, relative=1.659002e-05.
  itrIdx=179,	residual=5.738783e+03,	 rhs=3.736463e+08, relative=1.535886e-05.
  itrIdx=180,	residual=5.459749e+03,	 rhs=3.736463e+08, relative=1.461208e-05.
  itrIdx=181,	residual=5.483893e+03,	 rhs=3.736463e+08, relative=1.467669e-05.
  itrIdx=182,	residual=5.200550e+03,	 rhs=3.736463e+08, relative=1.391837e-05.
  itrIdx=183,	residual=5.391733e+03,	 rhs=3.736463e+08, relative=1.443004e-05.
  itrIdx=184,	residual=4.703988e+03,	 rhs=3.736463e+08, relative=1.258941e-05.
  itrIdx=185,	residual=4.755883e+03,	 rhs=3.736463e+08, relative=1.272830e-05.
  itrIdx=186,	residual=4.729313e+03,	 rhs=3.736463e+08, relative=1.265719e-05.
  itrIdx=187,	residual=4.982151e+03,	 rhs=3.736463e+08, relative=1.333387e-05.
  itrIdx=188,	residual=4.283952e+03,	 rhs=3.736463e+08, relative=1.146526e-05.
  itrIdx=189,	residual=4.388315e+03,	 rhs=3.736463e+08, relative=1.174457e-05.
  itrIdx=190,	residual=4.758537e+03,	 rhs=3.736463e+08, relative=1.273540e-05.
Reach rtol=1.000000e-05, the solver exits with residual=3.651025e+03 and iterations=191.
  homoCoeffZ=1.28981
========================================================
Contrast_x,y,z=1000  125  8
Get kvals from python.
2.62144e+08  3.2768e+07  2.09715e+06  2.09715e+06  2.09715e+06  2621.44  26214.4  262144  262144  262144  2621.44  327.68  20.9715  20.9715  262144  
Use the following reference parameters:
2621.44  327.68  20.9715  20.9715  262144  
GPU solver with FCT preconditioner.
  itrIdx=1,	residual=1.028646e+08,	 rhs=5.964766e+08, relative=1.724537e-01.
  itrIdx=2,	residual=5.213379e+07,	 rhs=5.964766e+08, relative=8.740291e-02.
  itrIdx=3,	residual=3.461782e+07,	 rhs=5.964766e+08, relative=5.803718e-02.
  itrIdx=4,	residual=4.430394e+07,	 rhs=5.964766e+08, relative=7.427606e-02.
  itrIdx=5,	residual=2.209047e+07,	 rhs=5.964766e+08, relative=3.703493e-02.
  itrIdx=6,	residual=1.876582e+07,	 rhs=5.964766e+08, relative=3.146112e-02.
  itrIdx=7,	residual=4.411196e+07,	 rhs=5.964766e+08, relative=7.395421e-02.
  itrIdx=8,	residual=2.369122e+07,	 rhs=5.964766e+08, relative=3.971861e-02.
  itrIdx=9,	residual=1.131916e+07,	 rhs=5.964766e+08, relative=1.897671e-02.
  itrIdx=10,	residual=6.956280e+06,	 rhs=5.964766e+08, relative=1.166228e-02.
  itrIdx=11,	residual=6.416101e+06,	 rhs=5.964766e+08, relative=1.075667e-02.
  itrIdx=12,	residual=2.218391e+06,	 rhs=5.964766e+08, relative=3.719158e-03.
  itrIdx=13,	residual=4.041030e+06,	 rhs=5.964766e+08, relative=6.774834e-03.
  itrIdx=14,	residual=5.586296e+06,	 rhs=5.964766e+08, relative=9.365490e-03.
  itrIdx=15,	residual=4.082510e+06,	 rhs=5.964766e+08, relative=6.844376e-03.
  itrIdx=16,	residual=1.270845e+06,	 rhs=5.964766e+08, relative=2.130587e-03.
  itrIdx=17,	residual=7.532244e+06,	 rhs=5.964766e+08, relative=1.262790e-02.
  itrIdx=18,	residual=5.765991e+06,	 rhs=5.964766e+08, relative=9.666751e-03.
  itrIdx=19,	residual=1.004520e+06,	 rhs=5.964766e+08, relative=1.684089e-03.
  itrIdx=20,	residual=1.161978e+06,	 rhs=5.964766e+08, relative=1.948069e-03.
  itrIdx=21,	residual=1.909377e+06,	 rhs=5.964766e+08, relative=3.201092e-03.
  itrIdx=22,	residual=1.209534e+06,	 rhs=5.964766e+08, relative=2.027798e-03.
  itrIdx=23,	residual=1.794852e+06,	 rhs=5.964766e+08, relative=3.009090e-03.
  itrIdx=24,	residual=4.112018e+06,	 rhs=5.964766e+08, relative=6.893847e-03.
  itrIdx=25,	residual=1.045404e+06,	 rhs=5.964766e+08, relative=1.752633e-03.
  itrIdx=26,	residual=1.509365e+06,	 rhs=5.964766e+08, relative=2.530468e-03.
  itrIdx=27,	residual=1.035901e+06,	 rhs=5.964766e+08, relative=1.736701e-03.
  itrIdx=28,	residual=8.312866e+05,	 rhs=5.964766e+08, relative=1.393662e-03.
  itrIdx=29,	residual=1.591391e+06,	 rhs=5.964766e+08, relative=2.667985e-03.
  itrIdx=30,	residual=1.100223e+06,	 rhs=5.964766e+08, relative=1.844536e-03.
  itrIdx=31,	residual=2.197488e+06,	 rhs=5.964766e+08, relative=3.684114e-03.
  itrIdx=32,	residual=1.017227e+06,	 rhs=5.964766e+08, relative=1.705393e-03.
  itrIdx=33,	residual=9.598646e+05,	 rhs=5.964766e+08, relative=1.609224e-03.
  itrIdx=34,	residual=1.542074e+06,	 rhs=5.964766e+08, relative=2.585305e-03.
  itrIdx=35,	residual=8.221759e+05,	 rhs=5.964766e+08, relative=1.378387e-03.
  itrIdx=36,	residual=1.004099e+06,	 rhs=5.964766e+08, relative=1.683383e-03.
  itrIdx=37,	residual=8.910206e+05,	 rhs=5.964766e+08, relative=1.493806e-03.
  itrIdx=38,	residual=1.023086e+06,	 rhs=5.964766e+08, relative=1.715215e-03.
  itrIdx=39,	residual=1.876740e+06,	 rhs=5.964766e+08, relative=3.146376e-03.
  itrIdx=40,	residual=6.722310e+05,	 rhs=5.964766e+08, relative=1.127003e-03.
  itrIdx=41,	residual=1.085829e+06,	 rhs=5.964766e+08, relative=1.820404e-03.
  itrIdx=42,	residual=7.608776e+05,	 rhs=5.964766e+08, relative=1.275620e-03.
  itrIdx=43,	residual=1.251189e+06,	 rhs=5.964766e+08, relative=2.097632e-03.
  itrIdx=44,	residual=7.203778e+05,	 rhs=5.964766e+08, relative=1.207722e-03.
  itrIdx=45,	residual=7.958099e+05,	 rhs=5.964766e+08, relative=1.334184e-03.
  itrIdx=46,	residual=1.723951e+06,	 rhs=5.964766e+08, relative=2.890224e-03.
  itrIdx=47,	residual=6.770879e+05,	 rhs=5.964766e+08, relative=1.135146e-03.
  itrIdx=48,	residual=8.817354e+05,	 rhs=5.964766e+08, relative=1.478240e-03.
  itrIdx=49,	residual=6.227704e+05,	 rhs=5.964766e+08, relative=1.044082e-03.
  itrIdx=50,	residual=1.219883e+06,	 rhs=5.964766e+08, relative=2.045149e-03.
  itrIdx=51,	residual=1.633830e+06,	 rhs=5.964766e+08, relative=2.739134e-03.
